min_cluster_size,min_samples,n_clusters,noise_share
50,10,73,0.335
50,20,68,0.38
50,30,61,0.403
75,10,53,0.333
75,20,50,0.376
75,30,45,0.409
100,10,37,0.348
100,20,35,0.356
100,30,34,0.402
150,10,25,0.325
150,20,26,0.352
150,30,25,0.385
200,10,20,0.357
200,20,20,0.387
200,30,2,0.031
