K,n_present_groups,low_pole,low_pole_mean_OAI,high_pole,high_pole_mean_OAI,H,p_KW,n_total_pairs,n_total_sig,n_middle_pairs,n_middle_nonsig,middle_nonsig_pct,m2_overlap_pct,m7_overlap_pct
7,8,M2,0.055,M7,0.502,164.59,3.471629073218964e-32,28,13,15,15,100.0,100.0,100.0
8,9,M2,0.055,M8,0.502,214.27,6.238098932598e-42,36,21,21,13,61.9,100.0,100.0
10,10,M3,0.038,M10,0.502,220.16,1.93222664299258e-42,45,23,28,20,71.4,80.0,100.0
12,12,M7,0.031,M8,0.604,406.84,2.163612664560533e-80,66,40,45,22,48.9,0.0,0.0
15,15,M8,0.031,M9,0.604,497.17,3.692392073910163e-97,105,54,78,44,56.4,0.0,0.0
