macro_exp,LLM,Multimodal_Perception,Embodied,Human_Bound
M1,417,228,630,73
M2,207,366,761,24
M3,68,7,37,0
M4-HVAC,49,605,69,5
M4-data,1029,139,4,10
M4-patrol,252,200,65,158
M5,868,64,7,40
M6,1187,287,179,1254
M7,844,11,23,13
Noise,2959,1334,823,521
