a,b,n_a,n_b,mean_a,mean_b,U,p_raw,p_bonf
LLM,Multimodal_Perception,1070,331,0.427,0.1245,274571.0,1.793380248223299e-56,1.0760281489339794e-55
LLM,Embodied,1070,322,0.427,0.0602,285035.5,2.9337427663547717e-78,1.7602456598128632e-77
LLM,Human_Bound,1070,238,0.427,0.2193,175396.0,1.994040847208497e-21,1.1964245083250981e-20
Multimodal_Perception,Embodied,331,322,0.1245,0.0602,61143.5,4.765941285765602e-06,2.859564771459361e-05
Multimodal_Perception,Human_Bound,331,238,0.1245,0.2193,32623.0,3.402587672985441e-05,0.0002041552603791265
Embodied,Human_Bound,322,238,0.0602,0.2193,26652.0,1.239148131579088e-15,7.434888789474529e-15
