macro_exp,LLM,Multimodal_Perception,Embodied,Human_Bound
M1,30.93,16.91,46.74,5.42
M2,15.24,26.95,56.04,1.77
M3,60.71,6.25,33.04,0.0
M4-HVAC,6.73,83.1,9.48,0.69
M4-data,87.06,11.76,0.34,0.85
M4-patrol,37.33,29.63,9.63,23.41
M5,88.66,6.54,0.72,4.09
M6,40.83,9.87,6.16,43.14
M7,94.73,1.23,2.58,1.46
Noise,52.49,23.67,14.6,9.24
