group,count,mean,median,std
M1,132,0.3852,0.4381,0.2692
M2,169,0.0828,0.0,0.1563
M4,323,0.4029,0.4643,0.2099
M5,59,0.4884,0.5,0.1131
M6,396,0.3767,0.3914,0.1862
M7,99,0.4958,0.5,0.1016
Noise,684,0.3403,0.4033,0.2353
mixed_dwa,96,0.3776,0.4125,0.2091
