K,low,high,low_mean,high_mean,KW_H,middle_nonsig
7,M2,M7,0.081,0.5,297.9,12/15
8,M2,M8,0.081,0.5,306.5,15/21
10,M3,M10,0.065,0.5,311.5,20/28
12,M3,M8,0.065,0.544,414.0,25/45
15,M3,M11,0.065,0.582,436.0,45/78
