mx,n,mean_El,mean_AIOE,mean_FO,macro,mean_FO_orig
M1,140,0.386,-0.192,0.622,M1,0.6256
M2,168,0.086,-0.787,0.701,M2,0.7028
M4-HVAC,84,0.214,-0.601,0.645,M4-HVAC,0.6541
M4-data,145,0.543,0.891,0.337,M4-data,0.3395
M4-patrol,85,0.357,0.112,0.374,M4-patrol,0.3883
M5,68,0.464,0.574,0.289,M5,0.3058
M6,402,0.38,0.357,0.279,M6,0.2996
M7,103,0.497,0.469,0.286,M7,0.2869
Noise,766,0.34,-0.008,0.469,Noise,0.4713
