macro_expanded,LLM,Multimodal_Perception,Embodied,Human_Bound
M2,225,363,762,8
M4-HVAC,27,633,65,3
M4-patrol,273,119,64,219
M1,392,166,713,77
M6,1528,177,124,1078
M5,853,98,2,26
Noise,3131,1222,897,387
M4-data,1014,141,14,13
M7,845,14,32,0
M3,35,6,71,0
