indicator,year,n_middle_pairs_tested,n_middle_nonsig,middle_nonsig_pct
Frey-Osborne,2013,15,5,33.3
AIOE,2018,15,6,40.0
Eloundou,2023,15,12,80.0
OAI,2026,15,15,100.0
