micro_id,macro_id
0,12
1,10
2,6
3,10
4,10
5,2
6,3
7,4
8,3
9,5
10,1
11,12
12,6
13,11
14,9
15,1
16,8
17,8
18,9
19,6
20,8
21,10
22,10
23,10
24,3
25,8
26,3
27,12
28,1
29,9
30,9
31,10
32,11
33,7
34,7
