micro_id,macro_id
0,10
1,9
2,6
3,9
4,9
5,2
6,3
7,4
8,3
9,5
10,1
11,10
12,6
13,10
14,8
15,1
16,7
17,7
18,8
19,6
20,7
21,9
22,9
23,9
24,3
25,7
26,3
27,10
28,1
29,8
30,8
31,9
32,10
33,7
34,7
