micro_id,macro_id
0,15
1,13
2,6
3,12
4,12
5,2
6,3
7,4
8,3
9,5
10,1
11,15
12,6
13,14
14,11
15,1
16,9
17,9
18,10
19,7
20,9
21,12
22,12
23,12
24,3
25,9
26,3
27,15
28,1
29,10
30,10
31,12
32,14
33,8
34,8
