micro_id,macro_id
0,8
1,7
2,4
3,7
4,7
5,1
6,2
7,2
8,2
9,3
10,1
11,8
12,4
13,8
14,6
15,1
16,5
17,5
18,6
19,4
20,5
21,7
22,7
23,7
24,2
25,5
26,2
27,8
28,1
29,6
30,6
31,7
32,8
33,5
34,5
