micro_id,macro_id
0,7
1,6
2,4
3,6
4,6
5,1
6,2
7,2
8,2
9,3
10,1
11,7
12,4
13,7
14,5
15,1
16,4
17,4
18,5
19,4
20,4
21,6
22,6
23,6
24,2
25,4
26,2
27,7
28,1
29,5
30,5
31,6
32,7
33,4
34,4
